pred_file,gt_file,psnr,ssim
frankfurt_frankfurt_000000_022254_leftImg8bit.png,frankfurt_frankfurt_000000_022254_leftImg8bit.png,14.2576,0.699564
frankfurt_frankfurt_000000_022797_leftImg8bit.png,frankfurt_frankfurt_000000_022797_leftImg8bit.png,15.9762,0.711963
frankfurt_frankfurt_000001_000538_leftImg8bit.png,frankfurt_frankfurt_000001_000538_leftImg8bit.png,14.4532,0.712761
frankfurt_frankfurt_000001_001464_leftImg8bit.png,frankfurt_frankfurt_000001_001464_leftImg8bit.png,12.2887,0.673179
frankfurt_frankfurt_000001_002512_leftImg8bit.png,frankfurt_frankfurt_000001_002512_leftImg8bit.png,11.7547,0.636159
frankfurt_frankfurt_000001_002646_leftImg8bit.png,frankfurt_frankfurt_000001_002646_leftImg8bit.png,11.6607,0.641319
frankfurt_frankfurt_000001_002759_leftImg8bit.png,frankfurt_frankfurt_000001_002759_leftImg8bit.png,11.6270,0.655253
frankfurt_frankfurt_000001_003056_leftImg8bit.png,frankfurt_frankfurt_000001_003056_leftImg8bit.png,12.5240,0.661069
frankfurt_frankfurt_000001_003588_leftImg8bit.png,frankfurt_frankfurt_000001_003588_leftImg8bit.png,12.6528,0.675461
frankfurt_frankfurt_000001_004327_leftImg8bit.png,frankfurt_frankfurt_000001_004327_leftImg8bit.png,13.1587,0.653980
frankfurt_frankfurt_000001_004736_leftImg8bit.png,frankfurt_frankfurt_000001_004736_leftImg8bit.png,12.7939,0.669632
frankfurt_frankfurt_000001_004859_leftImg8bit.png,frankfurt_frankfurt_000001_004859_leftImg8bit.png,12.5153,0.653395
frankfurt_frankfurt_000001_005184_leftImg8bit.png,frankfurt_frankfurt_000001_005184_leftImg8bit.png,14.1720,0.668121
frankfurt_frankfurt_000001_005410_leftImg8bit.png,frankfurt_frankfurt_000001_005410_leftImg8bit.png,12.7655,0.685359
frankfurt_frankfurt_000001_005703_leftImg8bit.png,frankfurt_frankfurt_000001_005703_leftImg8bit.png,12.6045,0.675504
frankfurt_frankfurt_000001_005898_leftImg8bit.png,frankfurt_frankfurt_000001_005898_leftImg8bit.png,14.1649,0.702728
frankfurt_frankfurt_000001_007285_leftImg8bit.png,frankfurt_frankfurt_000001_007285_leftImg8bit.png,14.3023,0.676746
frankfurt_frankfurt_000001_007407_leftImg8bit.png,frankfurt_frankfurt_000001_007407_leftImg8bit.png,15.3038,0.743900
frankfurt_frankfurt_000001_007622_leftImg8bit.png,frankfurt_frankfurt_000001_007622_leftImg8bit.png,13.4178,0.686749
frankfurt_frankfurt_000001_007857_leftImg8bit.png,frankfurt_frankfurt_000001_007857_leftImg8bit.png,11.8337,0.714120
frankfurt_frankfurt_000001_007973_leftImg8bit.png,frankfurt_frankfurt_000001_007973_leftImg8bit.png,12.8780,0.667052
frankfurt_frankfurt_000001_008200_leftImg8bit.png,frankfurt_frankfurt_000001_008200_leftImg8bit.png,13.7612,0.626188
frankfurt_frankfurt_000001_008688_leftImg8bit.png,frankfurt_frankfurt_000001_008688_leftImg8bit.png,13.7870,0.689561
frankfurt_frankfurt_000001_009058_leftImg8bit.png,frankfurt_frankfurt_000001_009058_leftImg8bit.png,15.6455,0.728064
frankfurt_frankfurt_000001_009504_leftImg8bit.png,frankfurt_frankfurt_000001_009504_leftImg8bit.png,15.7219,0.733073
frankfurt_frankfurt_000001_009854_leftImg8bit.png,frankfurt_frankfurt_000001_009854_leftImg8bit.png,15.0005,0.720436
frankfurt_frankfurt_000001_010156_leftImg8bit.png,frankfurt_frankfurt_000001_010156_leftImg8bit.png,17.6668,0.766379
frankfurt_frankfurt_000001_010444_leftImg8bit.png,frankfurt_frankfurt_000001_010444_leftImg8bit.png,17.4024,0.733316
frankfurt_frankfurt_000001_010600_leftImg8bit.png,frankfurt_frankfurt_000001_010600_leftImg8bit.png,17.6934,0.819269
frankfurt_frankfurt_000001_010830_leftImg8bit.png,frankfurt_frankfurt_000001_010830_leftImg8bit.png,18.3138,0.825193
frankfurt_frankfurt_000001_011162_leftImg8bit.png,frankfurt_frankfurt_000001_011162_leftImg8bit.png,17.9369,0.824516
frankfurt_frankfurt_000001_011715_leftImg8bit.png,frankfurt_frankfurt_000001_011715_leftImg8bit.png,16.7033,0.824333
frankfurt_frankfurt_000001_011835_leftImg8bit.png,frankfurt_frankfurt_000001_011835_leftImg8bit.png,16.7488,0.815692
frankfurt_frankfurt_000001_012038_leftImg8bit.png,frankfurt_frankfurt_000001_012038_leftImg8bit.png,15.3489,0.740161
frankfurt_frankfurt_000001_012519_leftImg8bit.png,frankfurt_frankfurt_000001_012519_leftImg8bit.png,19.3970,0.767783
frankfurt_frankfurt_000001_012699_leftImg8bit.png,frankfurt_frankfurt_000001_012699_leftImg8bit.png,17.2258,0.731168
