pred_file,gt_file,psnr,ssim
frankfurt_frankfurt_000000_022254_leftImg8bit.png,frankfurt_frankfurt_000000_022254_leftImg8bit.png,11.5709,0.773850
frankfurt_frankfurt_000000_022797_leftImg8bit.png,frankfurt_frankfurt_000000_022797_leftImg8bit.png,13.5173,0.704544
frankfurt_frankfurt_000001_000538_leftImg8bit.png,frankfurt_frankfurt_000001_000538_leftImg8bit.png,12.7130,0.790615
frankfurt_frankfurt_000001_001464_leftImg8bit.png,frankfurt_frankfurt_000001_001464_leftImg8bit.png,11.8696,0.793890
frankfurt_frankfurt_000001_002512_leftImg8bit.png,frankfurt_frankfurt_000001_002512_leftImg8bit.png,9.9989,0.683772
frankfurt_frankfurt_000001_002646_leftImg8bit.png,frankfurt_frankfurt_000001_002646_leftImg8bit.png,8.7429,0.724960
frankfurt_frankfurt_000001_002759_leftImg8bit.png,frankfurt_frankfurt_000001_002759_leftImg8bit.png,9.2661,0.733998
frankfurt_frankfurt_000001_003056_leftImg8bit.png,frankfurt_frankfurt_000001_003056_leftImg8bit.png,10.7760,0.680928
frankfurt_frankfurt_000001_003588_leftImg8bit.png,frankfurt_frankfurt_000001_003588_leftImg8bit.png,10.6505,0.736069
frankfurt_frankfurt_000001_004327_leftImg8bit.png,frankfurt_frankfurt_000001_004327_leftImg8bit.png,11.8721,0.783380
frankfurt_frankfurt_000001_004736_leftImg8bit.png,frankfurt_frankfurt_000001_004736_leftImg8bit.png,10.3558,0.758668
frankfurt_frankfurt_000001_004859_leftImg8bit.png,frankfurt_frankfurt_000001_004859_leftImg8bit.png,10.5815,0.755045
frankfurt_frankfurt_000001_005184_leftImg8bit.png,frankfurt_frankfurt_000001_005184_leftImg8bit.png,11.3970,0.810234
frankfurt_frankfurt_000001_005410_leftImg8bit.png,frankfurt_frankfurt_000001_005410_leftImg8bit.png,11.7812,0.729133
frankfurt_frankfurt_000001_005703_leftImg8bit.png,frankfurt_frankfurt_000001_005703_leftImg8bit.png,11.7686,0.710018
frankfurt_frankfurt_000001_005898_leftImg8bit.png,frankfurt_frankfurt_000001_005898_leftImg8bit.png,11.3555,0.750769
frankfurt_frankfurt_000001_007285_leftImg8bit.png,frankfurt_frankfurt_000001_007285_leftImg8bit.png,10.3312,0.652026
frankfurt_frankfurt_000001_007407_leftImg8bit.png,frankfurt_frankfurt_000001_007407_leftImg8bit.png,15.0419,0.737291
frankfurt_frankfurt_000001_007622_leftImg8bit.png,frankfurt_frankfurt_000001_007622_leftImg8bit.png,12.1484,0.785048
frankfurt_frankfurt_000001_007857_leftImg8bit.png,frankfurt_frankfurt_000001_007857_leftImg8bit.png,11.5456,0.744012
frankfurt_frankfurt_000001_007973_leftImg8bit.png,frankfurt_frankfurt_000001_007973_leftImg8bit.png,9.3067,0.695842
frankfurt_frankfurt_000001_008200_leftImg8bit.png,frankfurt_frankfurt_000001_008200_leftImg8bit.png,11.2048,0.767412
frankfurt_frankfurt_000001_008688_leftImg8bit.png,frankfurt_frankfurt_000001_008688_leftImg8bit.png,11.6034,0.790771
frankfurt_frankfurt_000001_009058_leftImg8bit.png,frankfurt_frankfurt_000001_009058_leftImg8bit.png,11.4055,0.782502
frankfurt_frankfurt_000001_009504_leftImg8bit.png,frankfurt_frankfurt_000001_009504_leftImg8bit.png,11.1825,0.775917
frankfurt_frankfurt_000001_009854_leftImg8bit.png,frankfurt_frankfurt_000001_009854_leftImg8bit.png,12.4956,0.624207
frankfurt_frankfurt_000001_010156_leftImg8bit.png,frankfurt_frankfurt_000001_010156_leftImg8bit.png,15.5915,0.708297
frankfurt_frankfurt_000001_010444_leftImg8bit.png,frankfurt_frankfurt_000001_010444_leftImg8bit.png,16.7951,0.638403
frankfurt_frankfurt_000001_010600_leftImg8bit.png,frankfurt_frankfurt_000001_010600_leftImg8bit.png,14.6299,0.854468
frankfurt_frankfurt_000001_010830_leftImg8bit.png,frankfurt_frankfurt_000001_010830_leftImg8bit.png,17.4418,0.800032
